Training Steps,Evaluation Reward
1305097,329.1039805486799
1310109,415.85530951981326
1315065,475.7822862205405
1320028,416.9581256724066
1325091,480.06122856193946
1330009,441.70961757707937
1335012,610.9704114517403
1340111,365.52786923712114
1345037,412.40347486804234
1350045,453.98514846546783
1355028,300.4973512101505
1360146,392.0569942710508
1365083,518.1364245050482
1370010,503.6388150271443
1375019,459.6900799228913
1380020,454.38779358234666
1385122,402.41647808191686
1390124,561.8964996830458
1395124,477.03404095230843
1400085,401.55914510289836
1405078,370.89645476960055
1410036,452.07452216703035
1415052,502.899031399025
1420052,531.397952722295
1425001,484.3399447037115
1430028,421.7104472701128
1435091,450.9748128829395
1440088,419.30875188878014
1445035,346.4237272160569
1450011,581.615407816652
1455087,502.12066328773886
1460050,459.1020650763273
1465060,446.9268361003035
1470043,454.5795145196221
1475077,409.35999884373604
1480103,516.470983431985
1485042,513.9533867521419
1490114,443.2551052442027
1495079,451.3020675525898
1500112,323.89122002997374
1505091,422.358886388441
1510000,350.3644305798742
1515099,342.40310092792953
1520099,544.2219106283866
1525081,322.40026616387894
1530026,477.5534926432495
1535035,371.43818779001276
1540044,538.24846596871
1545106,393.86858562835386
1550111,412.75100663925224
1555011,421.42667596383654
1560106,348.32986955013536
1565069,502.8905804724329
1570020,593.4394651910083
1575060,492.2494875184364
1580050,401.7730253769292
1585121,453.56590901863666
1590087,563.4220863102624
1595030,460.1741001672215
1600110,501.14334148251345
1605058,470.8305177175337
1610003,507.9287930285016
1615060,494.6731280804508
1620026,423.79567561257227
1625067,503.04378726209217
1630059,407.01528022324464
1635037,433.6520311960744
1640069,362.89428895132414
1645090,287.6848112579642
1650008,467.6179712943526
1655112,395.51669852601145
1660050,524.8617193470192
1665006,530.870202957756
1670069,463.94600189394424
1675004,460.39118678929907
1680065,371.9509497947163
1685043,423.9828652888537
1690133,351.8033621884469
1695053,503.275542502395
1700123,417.60642911307514
1705017,482.0855520293117
1710058,644.6856036492522
1715107,411.6058609438026
1720094,362.7242679314481
1725046,435.8918188181188
1730083,412.97671832079595
1735003,374.9850849201903
1740097,477.9255775098379
1745039,287.3314449232486
1750090,458.50726011105706
1755052,473.56912319031034
1760018,442.41363134028194
1765085,353.6707428387471
1770018,434.6019861170659
1775097,558.9947509682842
1780147,432.2814102253567
1785072,421.4927204367189
1790128,609.6850127561224
1795075,462.2644522403264
1800014,398.48446207276237
1805008,532.1759267704975
1810022,345.3334124654065
1815088,462.9172587994899
1820074,481.05699592890846
1825017,458.59521567187693
1830064,588.2222476415335
1835027,350.5392291438249
1840053,458.0021007907473
1845093,508.1729950880014
1850081,495.78754256582926
1855094,485.9333916443091
1860007,521.8934591445658
1865049,545.933464297818
1870062,421.98771403378095
1875077,487.9915607430867
1880059,553.9789917940894
1885074,571.8871045774885
1890080,436.08148748675995
1895017,535.4787300589184
1900005,424.2149354144931
1905066,568.911579477911
1910040,580.149991090099
1915046,405.4549300587839
1920109,512.5134668788976
1925087,440.7782259417906
1930121,481.7678856063219
1935041,463.02870976428204
1940130,428.6454157738223
1945060,501.2233631901393
1950126,544.3475458895167
1955016,578.8510274390379
1960042,573.8082237650005
1965068,487.64379543769684
1970070,460.077479026384
1975122,479.8600303981868
1980091,387.9967047067152
1985069,548.5624199608962
1990018,456.392207837974
1995126,483.2018726795084
2000041,452.8745247816875
2005117,351.77716845956934
2010088,380.4138858906097
2015087,353.41067848727107
2020122,493.62752449077857
2025095,556.7812274561987
2030024,574.1096828681314
2035087,556.6676463052219
2040123,446.57242547875916
2045023,567.4238758968811
2050005,528.8205793831085
2055030,528.3718526528943
2060127,525.9836426356601
2065066,473.41696763618137
2070091,539.9910068739619
2075080,598.2823317741148
2080063,542.3511572389139
2085075,526.8569228155282
2090112,287.2529578615083
2095138,526.620567418221
2100050,471.2397677068497
2105143,446.3436836583748
2110020,406.56835374939783
2115008,546.3390220598213
2120147,465.9587547783223
2125110,386.9820816732115
2130063,442.2430840217405
2135044,400.67279854582426
2140035,473.1389144927057
2145000,571.5189710745794
2150140,529.0842070140774
2155008,514.4926106019153
2160057,548.3515050096645
2165053,485.13239127389784
2170139,400.9961628375783
2175104,451.0958988343677
2180087,351.58870631414993
2185026,379.4573419030187
2190122,492.1593215399318
2195020,583.6784356873899
2200003,481.7889634219723
2205105,461.7116987187829
2210070,519.2825624305343
2215055,398.7274953678975
2220001,450.42498834845105
2225087,549.5052562436709
2230056,331.6703085189996
2235112,515.5219865507551
2240025,612.1038296487595
2245037,490.78329647580784
2250017,486.0420165386879
2255023,464.2928536898562
2260081,633.4555701704489
2265040,448.64713027400694
2270066,447.08589247945287
2275112,420.3300319094626
2280119,487.31253285788836
2285094,452.65256365088544
2290093,386.7239717352721
2295123,426.70872838546825
2300110,480.9901197792755
2305047,532.6169931867884
2310008,469.0839223315318
2315062,420.9825470619319
2320081,378.6260219394333
2325103,508.9565306984716
2330099,444.789608102292
2335032,408.0115262894994
2340059,700.6689526968531
2345093,508.73222734675664
2350014,531.4950120614635
2355154,511.2319811061025
2360064,431.770925841443
2365041,519.0833804528746
2370004,386.90449977086655
2375074,583.6737152238817
2380071,374.7034600915181
2385088,496.81491601125657
2390007,517.327231147016
2395110,463.95432882373115
2400017,537.7963030493507
2405046,511.9806022403968
2410032,501.1962672793824
2415100,437.21364948070715
2420091,508.7017895333056
2425048,544.4511825798287
2430077,554.7915592292945
2435071,488.1751849501356
2440109,504.64680767126583
2445007,468.36690786605095
2450005,552.7767338251901
2455066,459.9552456786236
2460002,578.0241341205934
2465035,517.6409929939028
2470108,593.808388562045
2475094,474.59541007669424
2480099,417.1903366264371
2485100,441.0639915656712
2490049,526.302767633978
2495031,491.5977175688992
2500053,618.0875466179311
2505035,613.5747968736622
2510046,540.6912284923925
2515023,385.0654584169386
2520008,504.42483838621746
2525097,374.3292412762014
2530028,541.1563185436859
2535026,510.6195904107558
2540101,467.2788361397882
2545063,493.75514270634295
2550035,468.6535234004259
2555019,520.507491444134
2560120,555.2092053534257
2565070,551.2772166118439
2570005,491.68959652591076
2575068,446.6440888804694
2580008,643.3146516895957
2585042,637.3797078451347
2590052,554.6327887992893
2595087,584.8426482495336
2600071,461.710870217325
2605082,495.012712739408
2610116,561.3669663046796
2615074,369.2480314679496
2620100,573.9513475168495
2625112,531.2084397246753
2630110,663.9997470797972
2635013,563.4053596709338
2640125,487.43114250091224
2645086,402.8153643431142
2650040,572.5618633188101
2655032,680.6420830688958
2660059,503.53157678826
2665013,498.9053551666439
2670107,432.98073613602264
2675095,516.310878422939
2680034,594.4644495762055
2685052,414.67285752503403
2690058,596.9695944173468
2695011,588.9138008861081
2700007,447.1126088181821
2705047,449.7699869299929
2710041,572.1790855005385
2715075,553.7887183783782
2720000,588.8809066762527
2725002,517.0734284652605
2730123,573.0310041167671
2735101,685.2686312442853
2740102,522.0716241871319
2745036,537.6296228605012
2750006,639.317589526375
2755093,600.3762509942884
2760097,550.1329361829752
2765001,624.3556744315556
2770031,617.2814935321611
2775051,604.1336816683825
2780087,584.120524492529
2785059,527.9779914016319
2790091,505.9209417510365
2795022,693.4763168910932
2800056,508.4456171276461
2805094,575.1901358986894
2810105,481.79410855389295
2815041,571.1369844210841
2820097,600.280637567242
2825007,636.6274999035522
2830089,574.0890309628513
2835007,548.2757448094587
2840097,494.3514163874917
2845000,467.3294647058679
2850048,526.364351320598
2855003,542.1885337183874
2860083,574.0831637672252
2865146,586.5740837550001
2870058,579.1057386694268
2875028,609.4289711655841
2880055,564.6109979434145
2885048,327.7344594895839
2890038,611.9263986042806
2895023,585.5642723809516
2900062,548.4367916484674
2905021,584.5210731360647
2910076,561.2948899716139
2915008,517.3712965266573
2920097,659.7669035796492
2925076,577.929440314571
2930038,605.4425117332074
2935016,524.9626452537875
2940113,465.41354181451925
2945004,572.6318098397719
2950005,546.2521689426568
2955017,504.50171907018466
2960114,536.3286605373852
2965084,659.3456162305343
2970063,508.2208942042458
2975124,447.98639979213493
2980002,520.5619673679272
2985021,595.3367179083742
2990082,660.3266352451302
2995040,532.397899268609
3000063,379.5774897870918
